id,serial,player_name,club,position,goals,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,match_played
57,43,Kroos,Real Madrid,Midfielder,2,1,1,0,0,0,2,0,12
58,43,De Bruyne,Man. City,Midfielder,2,1,0,1,0,2,0,0,10
59,43,Claudinho,Zenit,Midfielder,2,1,0,1,0,2,0,0,6
60,43,Siebatcheu,Young Boys,Forward,2,1,0,1,0,2,0,0,6
61,43,L. Nmecha,Wolfsburg,Forward,2,1,0,1,0,2,0,0,5
62,43,Chukwueze,Villarreal,Midfielder,2,0,2,0,0,2,0,0,9
63,43,Antony,Ajax,Forward,2,0,2,0,0,2,0,0,7
64,43,Steffen,Wolfsburg,Midfielder,2,0,2,0,0,2,0,0,5
65,43,Chiesa,Juventus,Forward,2,0,2,0,0,2,0,0,4
66,43,Gerard Moreno,Villarreal,Forward,2,0,1,1,0,2,0,1,7
67,43,Traore,Sheriff,Midfielder,2,0,1,1,0,2,0,0,6
68,43,Lukaku,Chelsea,Forward,2,0,1,1,0,2,0,0,6
69,43,Wijnaldum,Paris,Midfielder,2,0,1,1,0,2,0,0,5
70,43,S. Thill,Sheriff,Midfielder,2,0,1,0,1,0,2,0,6
71,43,Konaté,Liverpool,Defender,2,0,0,2,0,2,0,0,8
72,43,Coates,Sporting CP,Defender,2,0,0,2,0,2,0,0,6
73,73,Luis Suárez,Atlético,Forward,1,1,0,0,0,1,0,1,7
74,73,Sérgio Oliveira,Porto,Midfielder,1,1,0,0,0,1,0,1,6
75,73,Fabinho,Liverpool,Midfielder,1,1,0,0,0,1,0,0,13
76,73,Pau Torres,Villarreal,Defender,1,1,0,0,0,1,0,0,12
77,73,Correa,Atlético,Forward,1,1,0,0,0,1,0,0,10
78,73,Gilberto,Benfica,Defender,1,1,0,0,0,1,0,0,9
79,73,De Paul,Atlético,Midfielder,1,1,0,0,0,1,0,0,9
80,73,Rafa Silva,Benfica,Forward,1,1,0,0,0,1,0,0,9
81,73,Trigueros,Villarreal,Midfielder,1,1,0,0,0,1,0,0,9
82,73,Azpilicueta,Chelsea,Defender,1,1,0,0,0,1,0,0,9
83,73,Dia,Villarreal,Forward,1,1,0,0,0,1,0,0,8
84,73,Adamu,Salzburg,Forward,1,1,0,0,0,1,0,0,8
85,73,Christensen,Chelsea,Defender,1,1,0,0,0,1,0,0,8
86,73,Škriniar,Inter,Defender,1,1,0,0,0,1,0,0,8
87,73,Brozović,Inter,Midfielder,1,1,0,0,0,1,0,0,8
88,73,Gonçalo Ramos,Benfica,Forward,1,1,0,0,0,1,0,0,7
89,73,Sancho,Man. United,Midfielder,1,1,0,0,0,1,0,0,7
90,73,Mount,Chelsea,Midfielder,1,1,0,0,0,1,0,0,7
91,73,Grealish,Man. City,Midfielder,1,1,0,0,0,1,0,0,7
92,73,Klaassen,Ajax,Midfielder,1,1,0,0,0,1,0,0,7
93,73,Gueye,Paris,Midfielder,1,1,0,0,0,1,0,0,7
94,73,Walker,Man. City,Defender,1,1,0,0,0,1,0,0,7
95,73,Elia,Young Boys,Forward,1,1,0,0,0,1,0,0,6
96,73,Bellingham,Dortmund,Midfielder,1,1,0,0,0,1,0,0,6
97,73,Wendel,Zenit,Midfielder,1,1,0,0,0,1,0,0,6
98,73,Mukiele,Leipzig,Defender,1,1,0,0,0,1,0,0,6
99,73,James,Chelsea,Defender,1,1,0,0,0,1,0,0,6
100,73,Moumi Ngamaleu,Young Boys,Midfielder,1,1,0,0,0,1,0,0,6
101,73,Baku,Wolfsburg,Midfielder,1,1,0,0,0,1,0,0,6
102,73,Rafa Mir,Sevilla,Forward,1,1,0,0,0,1,0,0,6
103,73,Maguire,Man. United,Defender,1,1,0,0,0,1,0,0,6
104,73,Ocampos,Sevilla,Midfielder,1,1,0,0,0,1,0,0,6
105,73,Freuler,Atalanta,Midfielder,1,1,0,0,0,1,0,0,6
106,73,De Vrij,Inter,Defender,1,1,0,0,0,1,0,0,6
107,73,Alexis Sánchez,Inter,Forward,1,1,0,0,0,1,0,0,6
108,73,Garmash,Dynamo Kyiv,Midfielder,1,1,0,0,0,1,0,0,6
109,73,Piqué,Barcelona,Defender,1,1,0,0,0,1,0,0,5
110,73,Rashford,Man. United,Forward,1,1,0,0,0,1,0,0,5
111,73,Ikoné,LOSC,Midfielder,1,1,0,0,0,1,0,0,5
112,73,Tomori,Milan,Defender,1,1,0,0,0,1,0,0,5
113,73,Nikolov,Sheriff,Midfielder,1,1,0,0,0,1,0,0,5
114,73,Gomes,LOSC,Midfielder,1,1,0,0,0,1,0,0,4
115,73,Rafael Leão,Milan,Forward,1,1,0,0,0,1,0,0,4
116,73,Elanga,Man. United,Forward,1,1,0,0,0,1,0,0,3
117,73,Fati,Barcelona,Forward,1,1,0,0,0,1,0,0,3
118,73,Chalobah,Chelsea,Defender,1,1,0,0,0,1,0,0,3
119,73,Alcácer,Villarreal,Forward,1,1,0,0,0,1,0,0,3
120,73,Rieks,Malmö,Midfielder,1,1,0,0,0,1,0,0,3
