id,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered
164,Hendry,Club Brugge,Defender,540,6,0,0,61
165,Arboleda,Sheriff,Defender,540,6,0,0,53.3
166,Dulanto,Sheriff,Defender,540,6,0,0,53
167,Bounou,Sevilla,Goalkeeper,540,6,0,0,37.2
168,Kobel,Dortmund,Goalkeeper,540,6,0,0,35.4
169,Mignolet,Club Brugge,Goalkeeper,540,6,0,0,33.2
170,Musso,Atalanta,Goalkeeper,540,6,0,0,32.7
171,Pasveer,Ajax,Goalkeeper,540,6,0,0,32.7
172,Grbić,LOSC,Goalkeeper,540,6,0,0,31.9
173,Diogo Costa,Porto,Goalkeeper,540,6,0,0,31.7
174,Ter Stegen,Barcelona,Goalkeeper,540,6,0,0,29
175,Locatelli,Juventus,Midfielder,539,7,0,0,69.8
176,Diego Carlos,Sevilla,Defender,539,6,0,0,58.7
177,Mount,Chelsea,Midfielder,538,7,1,2,60.3
178,Rabiot,Juventus,Midfielder,536,7,0,0,67.6
179,Sydorchuk,Dynamo Kyiv,Midfielder,536,6,0,0,69.1
180,Maguire,Man. United,Defender,534,6,1,0,49.3
181,João Palhinha,Sporting CP,Midfielder,534,6,0,0,66.4
182,Tiago Djaló,LOSC,Defender,533,7,0,0,60.5
183,Moumi Ngamaleu,Young Boys,Midfielder,532,6,1,1,57.2
184,Perišić,Inter,Midfielder,531,8,0,1,65.5
185,Nkunku,Leipzig,Midfielder,531,6,7,0,62.8
186,Traore,Sheriff,Midfielder,530,6,2,1,64.4
187,Burak Yılmaz,LOSC,Forward,529,7,3,0,56.2
188,Pedro Porro,Sporting CP,Defender,529,7,1,0,60.9
189,Lang,Club Brugge,Forward,528,6,0,1,68.9
190,Clinton Mata,Club Brugge,Defender,528,6,0,0,59.9
191,Freuler,Atalanta,Midfielder,526,6,1,1,71.6
192,Depay,Barcelona,Forward,525,6,0,0,64.4
193,Gerard Moreno,Villarreal,Forward,524,7,2,4,65.7
194,Lo Celso,Villarreal,Midfielder,524,6,0,0,68.4
195,F. de Jong,Barcelona,Midfielder,523,6,0,0,69
196,Morata,Juventus,Forward,520,7,2,0,60.2
197,Bruno Fernandes,Man. United,Midfielder,520,7,0,7,58.4
198,Griezmann,Atlético,Forward,518,9,4,2,64.3
199,Sučić,Salzburg,Midfielder,516,8,1,0,65.4
200,Süle,Bayern,Defender,515,7,0,0,61.4
201,Yaremchuk,Benfica,Forward,514,10,3,0,66.5
202,Sarabia,Sporting CP,Forward,510,8,2,0,66.6
203,Matheus Nunes,Sporting CP,Midfielder,509,6,0,2,64.3
204,James,Chelsea,Defender,505,6,1,0,54.6
205,Aebischer,Young Boys,Midfielder,504,6,0,1,53.9
206,Bellingham,Dortmund,Midfielder,503,6,1,3,62.3
207,Zinchenko,Man. City,Defender,501,8,0,1,64.4
208,De Ketelaere,Club Brugge,Forward,500,6,0,1,58.5
209,Čolak,Malmö,Forward,500,6,0,0,63
210,Reus,Dortmund,Midfielder,499,6,3,1,62.7
211,Rakitskyy,Zenit,Defender,497,6,1,2,52.3
212,Barella,Inter,Midfielder,496,6,0,0,65.4
213,Innocent,Malmö,Midfielder,496,6,0,0,60.1
214,Taremi,Porto,Forward,494,6,1,1,60.6
215,João Mário,Benfica,Midfielder,493,8,0,4,66
216,Addo,Sheriff,Midfielder,491,6,0,0,59.7
217,Tsygankov,Dynamo Kyiv,Midfielder,490,6,0,1,65.8
218,Elia,Young Boys,Forward,489,6,1,0,49.1
219,De Vrij,Inter,Defender,487,6,1,0,55.4
220,Sergio Busquets,Barcelona,Midfielder,487,6,0,0,63.9
221,Shaparenko,Dynamo Kyiv,Midfielder,486,6,0,0,68.7
222,Mukiele,Leipzig,Defender,484,6,1,1,57
223,Wendel,Zenit,Midfielder,484,6,1,0,59.1
224,Meunier,Dortmund,Defender,484,6,0,1,65.6
225,De Roon,Atalanta,Midfielder,484,6,0,0,62.1
226,Nsoki,Club Brugge,Defender,484,6,0,0,56.8
227,Renan Lodi,Atlético,Defender,478,10,1,2,61.7
228,Davies,Bayern,Midfielder,477,7,0,2,61.4
229,Maycon,Shakhtar Donetsk,Midfielder,473,6,0,0,62.9
230,Carrasco,Atlético,Forward,472,7,0,0,60.1
231,Cuadrado,Juventus,Midfielder,472,7,0,0,56.2
232,Felipe,Atlético,Defender,472,7,0,0,51.4
233,Witsel,Dortmund,Midfielder,471,6,0,0,59.8
234,Neymar,Paris,Forward,468,6,0,1,55.6
235,Bamba,LOSC,Forward,468,6,0,0,58.2
236,Dumfries,Inter,Defender,467,7,0,1,60.2
237,Goretzka,Bayern,Midfielder,466,6,0,0,59.3
238,Zapata,Atalanta,Forward,464,6,3,3,50.1
239,Coquelin,Villarreal,Midfielder,463,8,1,0,57.6
240,Ocampos,Sevilla,Midfielder,463,6,1,1,50.6
241,Lauper,Young Boys,Midfielder,462,6,0,0,42.1
242,Grealish,Man. City,Midfielder,461,7,1,1,57.1
243,Claudinho,Zenit,Midfielder,460,6,2,0,55.8
244,Otávio,Porto,Midfielder,450,6,0,0,53.8
245,Feddal,Sporting CP,Defender,450,6,0,0,49.2
246,Palomino,Atalanta,Defender,450,5,1,1,50.5
247,T. Hernández,Milan,Defender,450,5,0,1,51.4
248,Danilo,Juventus,Defender,450,5,0,1,49.9
249,Mykolenko,Dynamo Kyiv,Defender,450,5,0,0,56.4
250,Syrota,Dynamo Kyiv,Defender,450,5,0,0,54
251,Koundé,Sevilla,Defender,450,5,0,0,53.2
252,Savić,Atlético,Defender,450,5,0,0,51.6
253,Akanji,Dortmund,Defender,450,5,0,0,50.6
254,L. Nielsen,Malmö,Defender,450,5,0,0,49.1
255,Marlon,Shakhtar Donetsk,Defender,450,5,0,0,48.8
256,Mbemba,Porto,Defender,450,5,0,0,46.5
257,Casteels,Wolfsburg,Goalkeeper,450,5,0,0,30.8
258,Ersin Destanoğlu,Beşiktaş,Goalkeeper,450,5,0,0,29.3
259,Donnarumma,Paris,Goalkeeper,450,5,0,0,27.5
260,Gulácsi,Leipzig,Goalkeeper,450,5,0,0,27.2
261,Bushchan,Dynamo Kyiv,Goalkeeper,450,5,0,0,25.6
262,Athanasiadis,Sheriff,Goalkeeper,450,5,0,0,22.7
263,Musiala,Bayern,Midfielder,448,8,1,1,59
264,Brorsson,Malmö,Defender,448,5,0,0,49.9
265,Ziyech,Chelsea,Midfielder,446,9,1,2,53.5
266,Saelemaekers,Milan,Midfielder,444,6,0,0,57.3
267,Douglas Santos,Zenit,Defender,444,5,0,2,50.5
268,Chistiakov,Zenit,Defender,444,5,0,0,50.8
269,Souza,Beşiktaş,Midfielder,442,5,0,0,55.5
270,Berget,Malmö,Midfielder,438,5,0,0,53
271,Onguéné,Salzburg,Defender,437,5,0,0,48.3
272,Buyalskiy,Dynamo Kyiv,Midfielder,436,5,0,0,58.5
